TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
384,CUST9216,ACC37688,Credit,Deposit,Credit Card,Firm C,West,Manager 3,26-04-2023,32265.69886,44815.24,0.74,738.00,66.00
385,CUST8416,ACC57516,Credit,Withdrawal,Personal Loan,Firm B,South,Manager 4,25-04-2024,48774.32267,112571.06,0.64,309.00,167.00
386,CUST4461,ACC21429,Credit,Transfer,Mutual Fund,Firm E,South,Manager 2,05-08-2023,41938.54796,44332.10,0.14,580.00,67.00
387,CUST9525,ACC75675,Credit,Payment,Personal Loan,Firm A,East,Manager 4,30-04-2023,86278.45441,11564.21,0.38,431.00,217.00
388,CUST1569,ACC25811,Savings,Deposit,Savings Account,Firm A,North,Manager 3,20-11-2023,34220.28874,61183.89,0.63,519.00,203.00
389,CUST9216,ACC29477,Loan,Withdrawal,Home Loan,Firm C,North,Manager 4,18-03-2023,37262.90998,85025.46,0.59,371.00,199.00
390,CUST6937,ACC62446,Current,Deposit,Savings Account,Firm A,North,Manager 2,03-12-2024,61754.42115,62299.68,0.35,493.00,83.00
391,CUST8028,ACC18140,Loan,Withdrawal,Personal Loan,Firm E,South,Manager 4,28-09-2023,56629.18968,65595.07,0.29,785.00,114.00
392,CUST4794,ACC83581,Savings,Deposit,Home Loan,Firm C,North,Manager 3,17-06-2023,45339.9531,87818.48,0.76,536.00,187.00
393,CUST5320,ACC26940,Credit,Withdrawal,Savings Account,Firm A,Central,Manager 2,03-06-2023,53795.85329,48381.41,0.37,498.00,81.00
394,CUST9535,ACC95774,Savings,Withdrawal,Credit Card,Firm E,West,Manager 3,20-04-2024,53348.25347,96013.81,0.55,357.00,196.00
395,CUST1644,ACC55331,Credit,Withdrawal,Credit Card,Firm A,South,Manager 2,03-08-2023,116806.4468,47782.44,0.23,605.00,195.00
396,CUST2109,ACC78581,Savings,Deposit,Home Loan,Firm A,Central,Manager 3,02-04-2023,46275.23975,74844.81,0.26,784.00,168.00
397,CUST5558,ACC58078,Loan,Payment,Credit Card,Firm B,North,Manager 2,30-07-2023,50989.07335,14772.53,0.32,386.00,8.00
398,CUST4373,ACC57700,Loan,Withdrawal,Personal Loan,Firm A,West,Manager 4,21-04-2024,72713.06247,-1164.04,0.28,439.00,82.00
399,CUST6350,ACC77773,Savings,Transfer,Savings Account,Firm A,Central,Manager 4,22-10-2023,21857.18738,66889.94,0.28,759.00,169.00
400,CUST2349,ACC12334,Savings,Payment,Home Loan,Firm C,West,Manager 3,02-05-2024,-4995.565095,91601.70,0.46,540.00,234.00
401,CUST1738,ACC70460,Credit,Transfer,Credit Card,Firm C,West,Manager 2,21-05-2023,52885.17022,51553.06,0.07,549.00,145.00
402,CUST2716,ACC51593,Savings,Withdrawal,Home Loan,Firm A,South,Manager 2,26-03-2023,75652.20273,143777.69,0.26,763.00,124.00
403,CUST1547,ACC58078,Loan,Payment,Mutual Fund,Firm A,East,Manager 4,26-02-2023,74518.4143,39075.89,0.54,739.00,161.00
404,CUST2842,ACC65545,Credit,Deposit,Personal Loan,Firm C,East,Manager 4,10-03-2023,51623.69947,88484.48,0.32,537.00,31.00
405,CUST1747,ACC78581,Current,Payment,Personal Loan,Firm C,East,Manager 3,22-05-2024,-21431.79684,68450.70,0.56,609.00,139.00
406,CUST7255,ACC31902,Loan,Payment,Mutual Fund,Firm C,South,Manager 1,21-03-2024,18906.4288,60558.44,0.24,824.00,188.00
407,CUST9962,ACC62809,Loan,Withdrawal,Personal Loan,Firm C,East,Manager 3,19-11-2023,67517.21554,119550.53,0.53,756.00,200.00
408,CUST2716,ACC15925,Credit,Transfer,Home Loan,Firm A,North,Manager 4,22-06-2024,75699.82311,134736.58,0.22,504.00,30.00
409,CUST6525,ACC70460,Loan,Withdrawal,Credit Card,Firm B,West,Manager 4,15-04-2024,50674.56025,48320.56,0.43,638.00,116.00
410,CUST7173,ACC83848,Credit,Payment,Savings Account,Firm C,South,Manager 3,22-05-2024,69705.9395,66956.66,0.54,391.00,152.00
411,CUST2699,ACC69323,Credit,Payment,Credit Card,Firm B,North,Manager 2,19-07-2023,41191.13159,81102.14,0.68,578.00,76.00
412,CUST2541,ACC71388,Current,Withdrawal,Personal Loan,Firm B,North,Manager 1,15-04-2024,61448.81603,11250.33,0.61,397.00,218.00
413,CUST5558,ACC77592,Savings,Deposit,Credit Card,Firm A,North,Manager 1,30-01-2023,39199.32581,56532.37,0.59,733.00,56.00
414,CUST1547,ACC10996,Credit,Deposit,Personal Loan,Firm C,North,Manager 4,19-10-2023,92323.65567,39827.55,0.67,768.00,198.00
415,CUST9216,ACC16664,Loan,Payment,Mutual Fund,Firm B,Central,Manager 3,27-05-2024,7654.724341,64781.52,-0.03,440.00,207.00
416,CUST2527,ACC39529,Current,Transfer,Home Loan,Firm C,West,Manager 3,26-05-2023,29268.18225,13177.01,0.57,432.00,136.00
417,CUST7887,ACC21264,Credit,Payment,Home Loan,Firm E,Central,Manager 4,20-04-2024,40507.53825,103230.26,0.60,819.00,123.00
418,CUST8874,ACC21719,Current,Deposit,Personal Loan,Firm D,South,Manager 3,28-11-2023,50035.62595,162192.90,0.42,822.00,237.00
419,CUST7388,ACC42467,Savings,Withdrawal,Credit Card,Firm E,West,Manager 3,20-06-2023,45555.94562,43897.39,0.79,571.00,15.00
420,CUST2699,ACC31539,Loan,Payment,Home Loan,Firm C,Central,Manager 4,18-11-2023,67374.47703,68883.17,0.51,722.00,7.00
421,CUST9962,ACC86784,Loan,Transfer,Credit Card,Firm E,South,Manager 4,08-11-2023,29791.33828,78507.83,0.95,799.00,205.00
422,CUST1547,ACC21429,Savings,Withdrawal,Mutual Fund,Firm C,West,Manager 1,02-05-2023,17364.77344,77427.50,0.40,490.00,90.00
423,CUST5174,ACC50817,Credit,Deposit,Credit Card,Firm B,West,Manager 2,08-06-2023,74201.22103,48412.35,0.84,339.00,149.00
424,CUST7345,ACC26956,Credit,Payment,Personal Loan,Firm C,South,Manager 2,03-08-2023,50037.16683,94209.77,0.17,774.00,165.00
425,CUST2018,ACC29007,Current,Deposit,Home Loan,Firm D,Central,Manager 3,07-01-2023,46721.74116,72216.10,1.10,723.00,32.00
426,CUST8318,ACC64022,Credit,Transfer,Personal Loan,Firm C,South,Manager 1,18-06-2023,78560.07607,39738.36,0.30,588.00,165.00
427,CUST4438,ACC22255,Loan,Payment,Credit Card,Firm B,West,Manager 3,01-09-2023,85808.8888,50165.33,0.29,541.00,148.00
428,CUST1569,ACC15925,Current,Withdrawal,Mutual Fund,Firm A,North,Manager 2,01-06-2023,23564.51893,75819.37,0.48,848.00,41.00
429,CUST1467,ACC81631,Savings,Deposit,Savings Account,Firm B,South,Manager 2,17-01-2024,70661.59074,17430.92,0.39,519.00,203.00
430,CUST1840,ACC34431,Loan,Deposit,Savings Account,Firm E,Central,Manager 3,04-11-2023,35708.44449,109817.91,0.98,560.00,95.00
431,CUST3006,ACC97411,Loan,Deposit,Mutual Fund,Firm D,East,Manager 3,19-11-2023,83705.17658,58287.78,0.20,443.00,138.00
432,CUST3449,ACC51593,Credit,Payment,Home Loan,Firm C,Central,Manager 3,17-06-2023,41996.87578,40715.03,1.08,419.00,149.00
433,CUST4794,ACC60432,Credit,Deposit,Savings Account,Firm A,Central,Manager 2,23-04-2023,61434.23311,64883.67,0.41,645.00,193.00
434,CUST1189,ACC99549,Loan,Withdrawal,Personal Loan,Firm A,Central,Manager 3,04-06-2024,68150.18631,60628.36,0.38,666.00,118.00
435,CUST1913,ACC57700,Savings,Deposit,Savings Account,Firm C,West,Manager 4,15-05-2024,73061.95398,90819.78,0.53,714.00,137.00
436,CUST7651,ACC39161,Credit,Withdrawal,Mutual Fund,Firm D,North,Manager 1,30-04-2023,39275.29517,79762.13,0.30,465.00,114.00
437,CUST6028,ACC49774,Credit,Withdrawal,Home Loan,Firm A,North,Manager 4,18-11-2023,22161.01926,-584.72,0.49,697.00,159.00
438,CUST8874,ACC11188,Current,Payment,Mutual Fund,Firm D,West,Manager 2,03-12-2024,39307.77042,86504.97,0.66,415.00,188.00
439,CUST2612,ACC83269,Current,Deposit,Personal Loan,Firm D,Central,Manager 3,08-11-2023,42261.16743,81466.59,0.47,345.00,150.00
440,CUST1962,ACC50817,Loan,Withdrawal,Credit Card,Firm D,South,Manager 3,24-05-2024,48524.43739,44669.00,0.39,453.00,103.00
441,CUST4584,ACC48303,Current,Withdrawal,Home Loan,Firm C,Central,Manager 3,19-03-2024,37823.34981,49697.99,0.64,651.00,96.00
442,CUST2716,ACC72197,Loan,Transfer,Credit Card,Firm E,West,Manager 2,20-06-2023,45501.81321,51655.51,0.61,696.00,191.00
443,CUST7028,ACC92558,Savings,Transfer,Savings Account,Firm E,Central,Manager 1,15-01-2023,88250.03684,62567.01,0.34,344.00,11.00
444,CUST5609,ACC82381,Savings,Payment,Personal Loan,Firm D,East,Manager 4,22-05-2024,58136.33546,123042.19,0.49,752.00,90.00
445,CUST9066,ACC83581,Credit,Deposit,Credit Card,Firm E,North,Manager 3,26-09-2023,106864.233,58141.57,0.30,663.00,102.00
446,CUST8765,ACC95164,Loan,Deposit,Mutual Fund,Firm C,West,Manager 1,15-05-2023,99176.08508,111333.56,0.17,416.00,146.00
447,CUST6210,ACC53466,Savings,Payment,Mutual Fund,Firm B,Central,Manager 2,17-11-2023,35872.10329,32853.19,0.83,641.00,227.00
448,CUST9564,ACC30852,Loan,Deposit,Savings Account,Firm A,South,Manager 2,21-02-2023,57014.91451,88662.45,0.46,474.00,131.00
449,CUST5916,ACC74631,Current,Deposit,Home Loan,Firm A,East,Manager 1,19-06-2023,49069.92382,92114.36,0.57,601.00,89.00
450,CUST6526,ACC29396,Current,Deposit,Savings Account,Firm B,Central,Manager 4,07-06-2023,48672.30569,89292.53,0.13,603.00,142.00
451,CUST3725,ACC15228,Current,Deposit,Credit Card,Firm A,South,Manager 2,18-08-2023,37887.13836,79428.55,0.90,508.00,58.00
452,CUST1547,ACC18140,Loan,Withdrawal,Home Loan,Firm D,North,Manager 4,06-08-2024,26241.58008,80386.78,0.17,601.00,192.00
453,CUST9209,ACC39529,Loan,Withdrawal,Home Loan,Firm A,South,Manager 3,02-05-2024,52626.49035,137522.61,0.50,720.00,220.00
454,CUST4126,ACC32627,Savings,Transfer,Mutual Fund,Firm E,East,Manager 2,07-05-2023,27384.52171,59172.73,0.60,658.00,76.00
455,CUST1840,ACC45907,Current,Payment,Savings Account,Firm E,East,Manager 3,02-05-2023,68688.44388,83962.11,0.20,381.00,107.00
456,CUST8874,ACC78089,Credit,Transfer,Mutual Fund,Firm E,East,Manager 4,05-12-2023,-14200.7145,98951.68,0.18,563.00,192.00
457,CUST5105,ACC38559,Current,Payment,Home Loan,Firm A,North,Manager 2,11-07-2023,70368.21913,48271.76,0.35,340.00,37.00
458,CUST9564,ACC92360,Credit,Payment,Credit Card,Firm A,South,Manager 4,05-11-2023,48713.17237,78647.93,0.43,764.00,159.00
459,CUST3015,ACC77638,Loan,Transfer,Savings Account,Firm B,East,Manager 2,28-01-2023,17739.15438,28247.08,0.75,315.00,230.00
460,CUST1747,ACC45907,Credit,Payment,Credit Card,Firm D,South,Manager 3,15-01-2023,58217.44696,11294.68,0.60,812.00,20.00
461,CUST1747,ACC57700,Savings,Transfer,Savings Account,Firm B,East,Manager 3,14-04-2023,86890.70264,48344.71,0.77,447.00,142.00
462,CUST7255,ACC80442,Loan,Payment,Home Loan,Firm A,North,Manager 3,26-03-2023,92556.16048,79366.32,0.56,332.00,113.00
463,CUST8318,ACC77638,Current,Deposit,Mutual Fund,Firm B,Central,Manager 1,30-04-2023,72351.37574,-4782.08,0.92,721.00,233.00
464,CUST4461,ACC15671,Credit,Payment,Savings Account,Firm D,Central,Manager 3,17-12-2023,42941.2495,55549.11,0.34,559.00,235.00
465,CUST4461,ACC21429,Credit,Deposit,Credit Card,Firm E,South,Manager 3,03-05-2024,55367.52407,62321.81,0.85,578.00,112.00
466,CUST4669,ACC24508,Loan,Deposit,Mutual Fund,Firm B,East,Manager 4,29-05-2023,33835.16646,66556.87,0.29,730.00,107.00
467,CUST9129,ACC82926,Loan,Payment,Savings Account,Firm B,North,Manager 3,05-03-2023,3901.518839,97114.41,0.19,416.00,116.00
468,CUST9066,ACC97225,Loan,Deposit,Personal Loan,Firm A,West,Manager 2,01-12-2024,-4985.758778,67493.24,0.28,747.00,105.00
469,CUST4373,ACC50817,Credit,Deposit,Home Loan,Firm E,South,Manager 4,17-02-2023,66818.41488,125994.80,0.38,837.00,103.00
470,CUST9525,ACC29646,Current,Transfer,Personal Loan,Firm A,West,Manager 4,24-05-2023,62994.78822,121839.16,0.35,719.00,58.00
471,CUST4346,ACC55331,Savings,Payment,Personal Loan,Firm B,South,Manager 3,09-08-2023,57186.51184,65180.51,0.80,585.00,37.00
472,CUST2527,ACC34431,Savings,Withdrawal,Personal Loan,Firm E,Central,Manager 1,21-10-2023,23362.56444,12688.85,0.94,846.00,197.00
473,CUST8344,ACC99117,Credit,Withdrawal,Home Loan,Firm B,East,Manager 4,29-01-2024,129471.4656,73117.86,0.19,820.00,210.00
474,CUST5428,ACC22799,Loan,Transfer,Credit Card,Firm A,Central,Manager 4,06-11-2024,34318.55795,29853.69,0.12,821.00,155.00
475,CUST5121,ACC99117,Savings,Deposit,Home Loan,Firm C,West,Manager 3,19-09-2023,44580.95975,57720.62,0.28,517.00,149.00
476,CUST1189,ACC21719,Current,Transfer,Personal Loan,Firm D,North,Manager 2,24-05-2024,28853.19423,103910.53,0.66,708.00,67.00
477,CUST4595,ACC21429,Current,Withdrawal,Home Loan,Firm C,Central,Manager 1,08-04-2023,56467.08368,111902.02,0.77,467.00,108.00
478,CUST3059,ACC53466,Savings,Deposit,Personal Loan,Firm E,West,Manager 1,09-11-2023,37508.65731,58840.60,0.54,502.00,187.00
479,CUST6526,ACC66190,Current,Withdrawal,Personal Loan,Firm B,East,Manager 2,16-03-2023,65121.31498,25856.33,0.50,567.00,176.00
480,CUST8772,ACC71938,Savings,Transfer,Personal Loan,Firm C,East,Manager 1,29-11-2023,41023.05294,63956.00,0.45,315.00,66.00
481,CUST4241,ACC67701,Current,Withdrawal,Credit Card,Firm D,North,Manager 4,24-12-2023,40466.38121,86902.25,0.40,766.00,55.00
482,CUST9525,ACC57597,Savings,Transfer,Credit Card,Firm C,Central,Manager 4,26-07-2023,37256.51091,-12919.39,0.25,403.00,69.00
483,CUST4855,ACC60432,Credit,Withdrawal,Savings Account,Firm C,East,Manager 2,06-10-2023,4219.630951,102252.31,0.17,321.00,94.00
484,CUST1555,ACC34431,Loan,Transfer,Credit Card,Firm D,East,Manager 2,19-07-2023,33099.87085,88226.97,0.26,747.00,153.00
485,CUST2412,ACC88252,Current,Withdrawal,Mutual Fund,Firm B,South,Manager 4,02-04-2023,46417.95035,32094.08,0.60,473.00,213.00
486,CUST5664,ACC35419,Current,Payment,Credit Card,Firm E,East,Manager 4,04-03-2023,35792.34103,74637.99,0.34,608.00,119.00
487,CUST6837,ACC28154,Savings,Withdrawal,Savings Account,Firm C,West,Manager 2,28-01-2023,47456.08291,75755.58,0.73,680.00,86.00
488,CUST5320,ACC90887,Current,Transfer,Savings Account,Firm B,North,Manager 2,08-10-2023,62504.65027,94039.60,0.40,676.00,162.00
489,CUST7173,ACC60432,Current,Payment,Mutual Fund,Firm B,Central,Manager 2,13-03-2023,18833.66839,76833.82,0.60,791.00,103.00
490,CUST1223,ACC92360,Loan,Deposit,Credit Card,Firm C,East,Manager 2,19-11-2023,87596.45717,84499.60,0.51,781.00,37.00
491,CUST2109,ACC22036,Current,Deposit,Savings Account,Firm B,South,Manager 1,01-12-2024,60504.95621,141517.00,0.36,518.00,228.00
492,CUST4794,ACC29646,Current,Transfer,Mutual Fund,Firm E,West,Manager 3,01-04-2024,73887.40821,116182.77,0.45,354.00,100.00
493,CUST1609,ACC91723,Current,Deposit,Credit Card,Firm B,South,Manager 1,17-01-2024,67632.86991,80801.88,0.72,364.00,11.00
494,CUST1749,ACC26940,Credit,Withdrawal,Home Loan,Firm E,South,Manager 1,05-03-2023,47124.08108,71338.24,0.89,798.00,124.00
495,CUST7994,ACC26026,Current,Withdrawal,Mutual Fund,Firm B,North,Manager 1,30-07-2023,59303.82919,98568.65,0.91,835.00,52.00
496,CUST3810,ACC22036,Current,Withdrawal,Mutual Fund,Firm E,South,Manager 2,24-10-2023,53323.68436,75002.90,0.69,356.00,122.00
497,CUST8266,ACC20297,Loan,Deposit,Savings Account,Firm E,East,Manager 4,21-03-2024,31619.79362,78356.97,0.65,441.00,239.00
498,CUST4763,ACC52131,Credit,Transfer,Mutual Fund,Firm D,Central,Manager 3,13-02-2024,5420.735232,115828.43,0.50,724.00,165.00
499,CUST9535,ACC70741,Loan,Deposit,Credit Card,Firm A,East,Manager 2,01-02-2023,55959.47156,49168.79,0.56,602.00,177.00
500,CUST9420,ACC37688,Credit,Transfer,Personal Loan,Firm E,East,Manager 4,09-06-2023,25736.94519,78224.10,0.45,380.00,39.00
501,CUST6028,ACC15359,Loan,Deposit,Mutual Fund,Firm E,North,Manager 1,07-01-2023,58654.234,75815.88,0.67,714.00,54.00
502,CUST9209,ACC55331,Current,Transfer,Home Loan,Firm C,East,Manager 4,30-03-2024,42550.23323,90521.51,0.36,699.00,109.00
503,CUST1887,ACC26940,Savings,Payment,Home Loan,Firm B,Central,Manager 4,01-10-2023,50243.44202,67006.46,0.14,427.00,132.00
504,CUST9129,ACC70314,Loan,Withdrawal,Credit Card,Firm E,North,Manager 1,17-06-2023,22368.60025,45934.67,0.42,304.00,101.00
505,CUST3306,ACC38559,Credit,Payment,Credit Card,Firm E,East,Manager 4,26-02-2023,82390.38999,74142.51,0.65,445.00,79.00
506,CUST7388,ACC81631,Current,Withdrawal,Mutual Fund,Firm A,North,Manager 2,18-06-2023,98620.49477,35356.89,0.73,697.00,47.00
507,CUST1609,ACC32212,Current,Payment,Mutual Fund,Firm D,South,Manager 2,26-04-2023,33715.75669,69700.84,0.41,824.00,24.00
508,CUST2018,ACC32627,Savings,Transfer,Savings Account,Firm B,North,Manager 2,03-02-2024,65754.40569,46769.84,0.33,402.00,174.00
509,CUST6525,ACC97225,Credit,Withdrawal,Mutual Fund,Firm A,East,Manager 4,03-12-2024,28214.32083,125519.31,0.33,724.00,218.00
510,CUST6330,ACC42710,Current,Deposit,Personal Loan,Firm B,North,Manager 4,04-01-2024,20819.59217,59216.76,0.46,814.00,224.00
511,CUST3306,ACC91220,Credit,Withdrawal,Personal Loan,Firm C,Central,Manager 2,20-04-2024,41473.06937,101168.67,0.55,307.00,139.00
512,CUST9843,ACC24070,Credit,Deposit,Credit Card,Firm C,East,Manager 4,06-11-2024,62022.50925,24810.79,0.26,533.00,103.00
513,CUST9962,ACC40952,Current,Withdrawal,Credit Card,Firm E,East,Manager 1,10-06-2023,114922.6432,78680.76,0.97,433.00,107.00
514,CUST6351,ACC82298,Current,Transfer,Credit Card,Firm B,Central,Manager 3,30-09-2023,40801.00881,100859.39,0.58,408.00,86.00
515,CUST1962,ACC95164,Credit,Withdrawal,Mutual Fund,Firm B,East,Manager 1,25-04-2024,60867.16658,49283.99,0.59,662.00,75.00
516,CUST2699,ACC58667,Savings,Deposit,Credit Card,Firm B,Central,Manager 1,17-07-2023,96879.97317,73720.99,0.19,325.00,58.00
517,CUST4763,ACC75767,Savings,Transfer,Home Loan,Firm C,Central,Manager 1,13-06-2024,8810.952478,68569.09,0.40,412.00,32.00
518,CUST2349,ACC29477,Savings,Withdrawal,Savings Account,Firm C,South,Manager 2,03-07-2023,38849.46094,79138.60,0.48,782.00,93.00
519,CUST1189,ACC61926,Credit,Payment,Savings Account,Firm E,East,Manager 3,21-01-2023,44286.16412,77128.09,0.41,503.00,96.00
520,CUST7493,ACC26956,Credit,Payment,Credit Card,Firm B,Central,Manager 3,26-04-2023,75825.74987,87004.17,0.76,513.00,120.00
521,CUST2464,ACC31539,Savings,Withdrawal,Credit Card,Firm A,East,Manager 3,05-03-2023,33857.92632,45175.45,0.45,560.00,238.00
522,CUST8772,ACC45951,Savings,Payment,Personal Loan,Firm D,South,Manager 1,16-10-2023,49518.58632,74875.71,0.13,621.00,50.00
523,CUST2457,ACC18140,Credit,Transfer,Personal Loan,Firm A,West,Manager 1,17-07-2023,79940.84583,27617.41,0.39,730.00,13.00
524,CUST6391,ACC75767,Savings,Deposit,Savings Account,Firm A,South,Manager 1,21-01-2023,63838.47317,43616.29,0.55,527.00,175.00
525,CUST7994,ACC45101,Current,Transfer,Credit Card,Firm B,North,Manager 1,26-02-2023,65211.86397,95072.67,0.31,689.00,185.00
526,CUST9439,ACC15671,Loan,Payment,Personal Loan,Firm B,East,Manager 2,14-07-2023,-7436.015895,93833.78,0.15,493.00,190.00
527,CUST7651,ACC95774,Current,Deposit,Credit Card,Firm E,Central,Manager 4,14-02-2023,97625.19029,148300.51,0.71,343.00,52.00
528,CUST5428,ACC61926,Current,Withdrawal,Savings Account,Firm C,Central,Manager 4,02-09-2024,-452.0526423,104272.59,0.76,732.00,107.00
529,CUST7173,ACC83848,Credit,Deposit,Mutual Fund,Firm A,North,Manager 4,11-08-2023,62067.21628,54349.22,0.35,835.00,185.00
530,CUST6735,ACC45101,Current,Withdrawal,Home Loan,Firm C,Central,Manager 4,29-01-2024,71536.89042,141015.27,0.26,568.00,206.00
531,CUST1415,ACC11285,Loan,Transfer,Credit Card,Firm C,East,Manager 4,25-04-2024,37051.79583,58156.05,0.53,341.00,68.00
532,CUST8344,ACC97411,Current,Deposit,Credit Card,Firm B,East,Manager 1,07-06-2023,29251.62001,47476.85,0.20,793.00,50.00
533,CUST6937,ACC11285,Current,Withdrawal,Mutual Fund,Firm A,West,Manager 2,24-10-2023,35033.2976,50709.76,0.54,810.00,89.00
534,CUST1913,ACC64785,Current,Payment,Savings Account,Firm D,South,Manager 3,30-03-2024,625.7126984,77868.13,0.28,433.00,128.00
535,CUST4241,ACC80131,Current,Payment,Savings Account,Firm A,Central,Manager 4,19-10-2023,53917.50069,76301.70,0.32,407.00,152.00
536,CUST6292,ACC67713,Savings,Deposit,Mutual Fund,Firm D,East,Manager 2,26-04-2023,16867.63223,90758.68,-0.01,562.00,227.00
537,CUST8288,ACC66190,Credit,Payment,Savings Account,Firm B,Central,Manager 3,04-11-2023,77907.14787,130141.27,0.82,649.00,134.00
538,CUST4438,ACC29396,Credit,Deposit,Home Loan,Firm E,West,Manager 2,08-06-2023,118190.3253,78357.22,0.34,744.00,209.00
539,CUST2109,ACC77592,Credit,Transfer,Credit Card,Firm A,East,Manager 2,14-02-2023,69343.62947,90895.64,0.79,708.00,141.00
540,CUST2109,ACC39544,Current,Payment,Mutual Fund,Firm A,West,Manager 2,11-06-2023,81935.74074,80923.77,0.68,457.00,119.00
541,CUST9843,ACC10996,Current,Withdrawal,Credit Card,Firm D,East,Manager 4,21-01-2023,59601.06063,42962.45,0.48,363.00,185.00
542,CUST8660,ACC51971,Credit,Transfer,Savings Account,Firm E,West,Manager 3,22-03-2024,75078.27116,101835.60,-0.03,706.00,128.00
543,CUST4855,ACC55331,Savings,Payment,Credit Card,Firm A,Central,Manager 3,05-04-2024,24857.91769,110258.06,0.42,312.00,170.00
544,CUST1609,ACC51593,Savings,Transfer,Home Loan,Firm B,North,Manager 2,25-04-2024,44097.49237,59295.67,-0.32,638.00,234.00
545,CUST5255,ACC40939,Loan,Withdrawal,Home Loan,Firm A,Central,Manager 3,08-06-2023,105938.6182,77344.76,0.54,379.00,233.00
546,CUST3041,ACC67713,Savings,Deposit,Mutual Fund,Firm D,Central,Manager 2,02-04-2023,87811.33801,115149.10,0.29,829.00,117.00
547,CUST8266,ACC24880,Current,Withdrawal,Home Loan,Firm D,East,Manager 4,16-04-2024,41857.57545,77720.10,0.48,551.00,128.00
548,CUST9420,ACC24508,Credit,Payment,Mutual Fund,Firm D,West,Manager 1,20-06-2023,29225.68113,55543.45,0.56,461.00,22.00
549,CUST8765,ACC76549,Savings,Payment,Personal Loan,Firm D,South,Manager 2,29-11-2023,5648.588558,74331.03,0.01,670.00,194.00
550,CUST5610,ACC78178,Savings,Payment,Home Loan,Firm B,South,Manager 3,16-03-2023,58251.58849,95516.75,0.43,667.00,62.00
551,CUST4855,ACC25811,Current,Withdrawal,Personal Loan,Firm B,South,Manager 3,03-01-2024,28500.08471,28346.03,0.43,512.00,171.00
552,CUST5610,ACC49395,Current,Transfer,Personal Loan,Firm D,South,Manager 1,10-06-2023,37661.20975,33052.91,0.43,722.00,20.00
553,CUST9666,ACC24070,Current,Transfer,Savings Account,Firm D,Central,Manager 3,13-06-2024,91977.43158,52343.13,0.51,373.00,114.00
554,CUST1840,ACC91220,Loan,Payment,Mutual Fund,Firm D,East,Manager 3,19-03-2024,63233.62896,78570.58,0.74,462.00,183.00
555,CUST7098,ACC24070,Credit,Transfer,Personal Loan,Firm A,Central,Manager 1,22-10-2023,60326.25528,50991.82,0.63,606.00,97.00
556,CUST3041,ACC22799,Credit,Withdrawal,Credit Card,Firm A,North,Manager 2,05-11-2023,78408.43123,62264.97,0.76,491.00,194.00
557,CUST1569,ACC52131,Loan,Payment,Mutual Fund,Firm C,North,Manager 1,09-08-2023,56047.72559,68082.62,0.47,518.00,181.00
558,CUST8266,ACC53865,Loan,Withdrawal,Home Loan,Firm A,East,Manager 1,22-10-2023,78953.37278,60224.81,0.68,304.00,20.00
559,CUST8874,ACC21878,Savings,Deposit,Home Loan,Firm A,South,Manager 3,01-09-2023,57082.83332,62570.16,0.47,574.00,65.00
560,CUST2541,ACC15671,Loan,Deposit,Mutual Fund,Firm C,West,Manager 1,22-03-2024,59298.83404,64054.64,0.60,538.00,63.00
561,CUST2578,ACC53466,Current,Withdrawal,Mutual Fund,Firm C,East,Manager 1,25-04-2024,67273.02655,77604.56,0.19,338.00,47.00
562,CUST4373,ACC34119,Current,Payment,Savings Account,Firm C,Central,Manager 4,11-08-2023,-21711.6824,78311.35,0.36,714.00,135.00
563,CUST7933,ACC26973,Credit,Transfer,Home Loan,Firm B,North,Manager 3,28-03-2024,71028.57254,125862.86,0.24,381.00,128.00
564,CUST6319,ACC24880,Loan,Deposit,Savings Account,Firm C,South,Manager 4,19-10-2023,81756.37886,96685.37,0.46,658.00,115.00
565,CUST6210,ACC11837,Credit,Deposit,Savings Account,Firm C,North,Manager 2,24-09-2023,52934.97209,97081.48,0.34,310.00,79.00
566,CUST4003,ACC43309,Savings,Transfer,Savings Account,Firm B,South,Manager 4,06-06-2023,72711.99137,41680.59,0.80,797.00,28.00
567,CUST6351,ACC57516,Credit,Payment,Home Loan,Firm E,Central,Manager 1,13-02-2024,43204.84098,24280.60,0.57,339.00,185.00
568,CUST1747,ACC48501,Loan,Withdrawal,Savings Account,Firm D,North,Manager 1,04-03-2023,63188.22804,119369.20,0.21,486.00,225.00
569,CUST5253,ACC36079,Current,Withdrawal,Mutual Fund,Firm D,North,Manager 1,25-11-2023,24385.89108,78151.35,0.40,574.00,141.00
570,CUST1888,ACC12334,Loan,Withdrawal,Savings Account,Firm D,South,Manager 2,19-10-2023,20155.25344,62873.51,0.84,828.00,177.00
571,CUST8279,ACC71426,Loan,Payment,Mutual Fund,Firm D,South,Manager 2,02-05-2023,67716.45905,99351.14,0.39,325.00,103.00
572,CUST5920,ACC35419,Savings,Payment,Savings Account,Firm D,North,Manager 2,02-08-2024,28778.29068,80420.67,0.43,340.00,138.00
573,CUST6837,ACC47099,Savings,Withdrawal,Credit Card,Firm D,Central,Manager 1,14-03-2024,91783.32956,129044.88,0.69,651.00,23.00
